date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2017-06-30,0.2082,-0.7055,-0.4301,0.2154,0.1675,2.0140,0.4366,0.4279,1.0235,0.1530,0.7349,0.2914,1.2037,-0.2370,0.3437,0.1114,0.0203,0.3833,0.4873,-0.0737,-0.4574,0.8546,-0.4845,0.4338,-1.2498,0.8706,0.2851,0
2017-09-30,0.4358,0.4845,-0.0413,0.4699,0.1471,0.2883,0.6576,0.8657,0.2193,0.2129,1.4611,0.0801,0.9298,-0.7436,-0.0531,0.1998,0.7794,0.6136,0.4429,0.3925,0.5208,0.7176,0.5301,0.8172,-0.2812,0.6689,0.4964,0
2017-12-31,0.4523,0.9847,0.9010,0.7466,0.1016,0.9965,0.7679,1.3304,-0.4817,0.7293,2.0495,0.5298,1.9840,0.1584,0.3861,0.5169,1.3302,0.9199,0.5802,0.8060,1.2047,0.7061,1.2623,1.0445,0.4731,1.2423,1.0383,0
2018-03-31,0.4878,0.9559,1.3671,0.4039,-0.1835,1.6238,0.1740,0.8673,-1.4900,0.9692,0.7580,0.3959,1.2828,0.6328,-0.1790,0.0254,1.0843,0.4858,0.2369,0.5417,0.8794,0.2442,1.5756,1.3050,0.4494,0.9157,0.7283,0
2018-06-30,0.6913,1.4409,0.7620,0.8569,-0.1119,0.0841,0.8596,1.2980,-0.3951,0.9498,1.7940,0.3797,0.8746,-0.0530,0.8322,0.6207,0.9416,1.1203,0.5927,0.8341,1.7621,1.0272,1.7480,1.2939,1.3709,0.7846,0.9100,0
2018-09-30,-0.5109,-0.6271,-0.3685,-0.2317,-0.9017,0.8530,-0.2422,-0.2412,-0.9099,-0.0672,-0.2702,-0.2817,-0.0988,-0.8371,-0.1042,-0.4407,-0.4034,-0.5305,-0.3228,-0.3507,-0.0136,-0.7459,0.2904,0.0246,-0.3499,-0.2651,-0.2174,0
2018-12-31,0.6651,0.1108,-0.0137,0.4805,0.4804,1.0689,0.7050,0.2247,1.0580,0.3595,1.4890,0.2635,0.9538,-0.4717,0.6042,0.5116,1.4167,0.1792,0.2287,0.4186,0.6515,0.2426,0.4589,0.8715,0.7230,-0.3036,0.3401,0
2019-03-31,0.2755,-0.2453,-0.4282,0.3750,-0.2440,0.2920,0.4684,0.2334,1.7992,0.6262,0.2559,0.5252,0.1354,0.3520,1.2383,0.5542,-0.3050,0.2013,0.4095,0.1503,0.5565,0.1058,0.0071,0.4329,0.8805,-0.1086,0.2415,0
2019-06-30,0.9017,0.4603,0.8022,0.6341,0.5789,1.0401,0.6971,0.6007,1.2332,0.8777,0.5120,0.7946,0.3956,-0.2310,1.4907,0.9225,1.2034,0.3878,0.7864,0.8517,0.4779,0.6937,0.1413,0.4943,1.5522,0.3281,0.6553,0
2019-09-30,1.2469,0.2733,1.2170,0.4866,0.5532,2.0101,0.3796,0.2274,0.6313,0.8526,-1.0113,0.7925,-0.4078,-0.5939,0.2394,0.5282,1.1479,0.3951,0.9361,0.7317,-0.2388,1.0154,-0.0368,0.5624,1.0459,0.2374,0.4394,0
2019-12-31,1.1171,0.8322,1.9390,0.3516,0.8114,1.6966,0.2414,0.4915,-0.3867,0.7750,-1.5921,0.7458,-0.8952,-1.2158,0.3816,0.5423,1.2387,0.0901,1.1552,0.9556,-0.4494,0.8589,0.1556,-0.0982,1.7568,0.6975,0.5462,0
2020-03-31,-0.5333,-1.5973,1.1658,-1.5219,-0.5597,0.3802,-1.9283,-2.0837,-3.1366,-2.0853,-4.9439,-0.9908,-3.6785,-2.8373,-2.7408,-1.4729,-0.5572,-2.2126,-0.6982,-0.6811,-3.7506,-1.7231,-2.1657,-2.6545,-0.4877,-0.9542,-1.4495,1
